Address,Balance_USDC,Basescan_Link
0x2d5663DDb22972f53A6FDaDEC0ec9Df9ccFe96A3,803290.503592,https://basescan.org/address/0x2d5663DDb22972f53A6FDaDEC0ec9Df9ccFe96A3
0xCBBFEce866A198f01EbD93B4EbE2D674542beC7C,360004.643389,https://basescan.org/address/0xCBBFEce866A198f01EbD93B4EbE2D674542beC7C
0x42f35f00803403f848CBDdAE208e41B0FC12A273,327036.162924,https://basescan.org/address/0x42f35f00803403f848CBDdAE208e41B0FC12A273
0x33bDd13485dC254fC63445cdDE6047Bf325c281E,156956.943247,https://basescan.org/address/0x33bDd13485dC254fC63445cdDE6047Bf325c281E
0xC16D900d638bbD4C89fB371ebb9b207985786624,52399.023549,https://basescan.org/address/0xC16D900d638bbD4C89fB371ebb9b207985786624
0x61F47622C85b6107609d9CE35510574946D80D18,46016.507382,https://basescan.org/address/0x61F47622C85b6107609d9CE35510574946D80D18
0x08445137ebfA9f0655b050AB2Ac002Abc4586990,43438.763367,https://basescan.org/address/0x08445137ebfA9f0655b050AB2Ac002Abc4586990
0xBAA5B609a0890fE3d16aF3384B9966Bb76D3C64a,33336.875428,https://basescan.org/address/0xBAA5B609a0890fE3d16aF3384B9966Bb76D3C64a
0x07651a8548f6E2F9c759b8e53B2cd5F5b6beA9F8,26637.655309,https://basescan.org/address/0x07651a8548f6E2F9c759b8e53B2cd5F5b6beA9F8
0x8425F145407FCb4d5F33F424a107718F7edfe717,26261.593391,https://basescan.org/address/0x8425F145407FCb4d5F33F424a107718F7edfe717
0xC485367Ec489d9A0187ae168cBd458Fe83FBBDDF,20396.929707,https://basescan.org/address/0xC485367Ec489d9A0187ae168cBd458Fe83FBBDDF
0xF73837d26aE73161D6e88af56EDE7a756B44BB02,18295.33858,https://basescan.org/address/0xF73837d26aE73161D6e88af56EDE7a756B44BB02
0xe86d822D593992Ea9d0105CD47A0fe8C1bfd728B,18020.012288,https://basescan.org/address/0xe86d822D593992Ea9d0105CD47A0fe8C1bfd728B
0xCc317dEE7048391689F577bB9F6d4f078aa19f58,15000.77929,https://basescan.org/address/0xCc317dEE7048391689F577bB9F6d4f078aa19f58
0x6550e8D294802C55c7BBE8D8f1d5774d1689AbE7,13643.056924,https://basescan.org/address/0x6550e8D294802C55c7BBE8D8f1d5774d1689AbE7
0xBd4f802D3930b93eCc2EF4DaDEBA0eB9449C36a2,12810.85404,https://basescan.org/address/0xBd4f802D3930b93eCc2EF4DaDEBA0eB9449C36a2
